"","year","box","date","site","days_to_hatch","inc_start_aprildays","type","hatching_date","clutch_size","hatchlings","fledglings","meantemp","first_offbout","last_onbout","night_var","activity_onset_relative","activity_end_relative"
"1",2018,"12CASH","13/05/2018","CASH",-12,131,"forest-experimental light","25/05/2018",8,8,8,13.74913492,"13/05/2018 05:42","13/05/2018 20:09",5.106262588,33,-73
"2",2018,"12CASH","14/05/2018","CASH",-11,131,"forest-experimental light","25/05/2018",8,8,8,14.01202381,"14/05/2018 05:24","14/05/2018 19:18",1.683015729,17,-125
"3",2018,"12CASH","16/05/2018","CASH",-9,131,"forest-experimental light","25/05/2018",8,8,8,13.14409722,"16/05/2018 05:36","16/05/2018 13:00",NA,33,-507
"4",2018,"12CASH","20/05/2018","CASH",-5,131,"forest-experimental light","25/05/2018",8,8,8,11.88902632,"20/05/2018 05:39","20/05/2018 19:33",0.272055657,43,-121
"5",2018,"12CASH","21/05/2018","CASH",-4,131,"forest-experimental light","25/05/2018",8,8,8,14.99637698,"21/05/2018 05:48","21/05/2018 21:15",0.327435783,54,-21
"6",2018,"12CASH","22/05/2018","CASH",-3,131,"forest-experimental light","25/05/2018",8,8,8,14.39243056,"22/05/2018 05:54","22/05/2018 19:21",0.519482422,61,-137
"7",2018,"12CASH","23/05/2018","CASH",-2,131,"forest-experimental light","25/05/2018",8,8,8,16.1397004,"23/05/2018 05:42","23/05/2018 19:33",0.23648705,51,-127
"8",2018,"12CASH","24/05/2018","CASH",-1,131,"forest-experimental light","25/05/2018",8,8,8,16.7061746,"24/05/2018 05:36","24/05/2018 19:45",NA,46,-116
"9",2018,"20CASH","07/05/2018","CASH",-14,125,"forest-experimental light","21/05/2018",8,7,7,14.60371429,"07/05/2018 04:38","07/05/2018 18:20",0.474596869,-43,-170
"10",2018,"20CASH","08/05/2018","CASH",-13,125,"forest-experimental light","21/05/2018",8,7,7,11.28572421,"08/05/2018 04:17","08/05/2018 17:44",0.258229339,-62,-208
"11",2018,"20CASH","09/05/2018","CASH",-12,125,"forest-experimental light","21/05/2018",8,7,7,8.897212302,"09/05/2018 04:29","09/05/2018 18:17",0.407082377,-48,-177
"12",2018,"20CASH","10/05/2018","CASH",-11,125,"forest-experimental light","21/05/2018",8,7,7,9.976855159,"10/05/2018 05:11","10/05/2018 17:35",0.883960455,-3,-221
"13",2018,"20CASH","11/05/2018","CASH",-10,125,"forest-experimental light","21/05/2018",8,7,7,10.7394623,"11/05/2018 05:08","11/05/2018 18:32",0.691186918,-4,-166
"14",2018,"20CASH","12/05/2018","CASH",-9,125,"forest-experimental light","21/05/2018",8,7,7,13.2566627,"12/05/2018 04:59","12/05/2018 18:17",1.018711947,-11,-183
"15",2018,"20CASH","13/05/2018","CASH",-8,125,"forest-experimental light","21/05/2018",8,7,7,13.74913492,"13/05/2018 05:23","13/05/2018 18:26",0.96764672,14,-176
"16",2018,"20CASH","14/05/2018","CASH",-7,125,"forest-experimental light","21/05/2018",8,7,7,14.01202381,"14/05/2018 05:17","14/05/2018 18:29",1.044942781,10,-174
"17",2018,"20CASH","15/05/2018","CASH",-6,125,"forest-experimental light","21/05/2018",8,7,7,13.39108333,"15/05/2018 05:14","15/05/2018 19:23",1.216827632,9,-122
"18",2018,"20CASH","16/05/2018","CASH",-5,125,"forest-experimental light","21/05/2018",8,7,7,13.14409722,"16/05/2018 04:38","16/05/2018 19:53",0.785608097,-25,-94
"19",2018,"20CASH","17/05/2018","CASH",-4,125,"forest-experimental light","21/05/2018",8,7,7,10.63960265,"17/05/2018 05:14","17/05/2018 19:23",0.073076028,13,-126
"20",2018,"20CASH","18/05/2018","CASH",-3,125,"forest-experimental light","21/05/2018",8,7,7,9.741666667,"18/05/2018 05:14","18/05/2018 19:32",1.130841979,15,-119
"21",2018,"20CASH","19/05/2018","CASH",-2,125,"forest-experimental light","21/05/2018",8,7,7,11.63333333,"19/05/2018 05:20","19/05/2018 19:05",0.622509667,22,-148
"22",2018,"20CASH","20/05/2018","CASH",-1,125,"forest-experimental light","21/05/2018",8,7,7,11.88902632,"20/05/2018 05:32","20/05/2018 18:56",NA,36,-158
"23",2018,"25CASH","18/05/2018","CASH",-5,128,"forest-experimental light","23/05/2018",7,5,5,9.741666667,"18/05/2018 05:35","18/05/2018 20:32",1.242587745,36,-59
"24",2018,"25CASH","19/05/2018","CASH",-4,128,"forest-experimental light","23/05/2018",7,5,5,11.63333333,"19/05/2018 05:35","19/05/2018 20:47",0.615040828,37,-46
"25",2018,"25CASH","20/05/2018","CASH",-3,128,"forest-experimental light","23/05/2018",7,5,5,11.88902632,"20/05/2018 04:32","20/05/2018 20:05",0.753544202,-24,-89
"26",2018,"25CASH","21/05/2018","CASH",-2,128,"forest-experimental light","23/05/2018",7,5,5,14.99637698,"21/05/2018 05:38","21/05/2018 19:47",1.375824678,44,-109
"27",2018,"25CASH","22/05/2018","CASH",-1,128,"forest-experimental light","23/05/2018",7,5,5,14.39243056,"22/05/2018 05:11","22/05/2018 19:11",NA,18,-147
"28",2018,"407CASH","07/05/2018","CASH",-15,130,"forest-control","22/05/2018",8,0,0,14.60371429,"07/05/2018 05:31","07/05/2018 22:01",4.782290005,10,51
"29",2018,"407CASH","08/05/2018","CASH",-14,130,"forest-control","22/05/2018",8,0,0,11.28572421,"08/05/2018 05:25","08/05/2018 19:37",4.088676697,6,-95
"30",2018,"407CASH","09/05/2018","CASH",-13,130,"forest-control","22/05/2018",8,0,0,8.897212302,"09/05/2018 05:58","09/05/2018 19:01",3.399994579,41,-133
"31",2018,"407CASH","10/05/2018","CASH",-12,130,"forest-control","22/05/2018",8,0,0,9.976855159,"10/05/2018 05:31","10/05/2018 19:25",2.167690832,17,-111
"32",2018,"407CASH","11/05/2018","CASH",-11,130,"forest-control","22/05/2018",8,0,0,10.7394623,"11/05/2018 05:28","11/05/2018 19:10",1.493216862,16,-128
"33",2018,"407CASH","13/05/2018","CASH",-9,130,"forest-control","22/05/2018",8,0,0,13.74913492,"13/05/2018 05:25","13/05/2018 18:46",0.94679931,16,-156
"34",2018,"407CASH","15/05/2018","CASH",-7,130,"forest-control","22/05/2018",8,0,0,13.39108333,"15/05/2018 05:43","15/05/2018 19:37",4.175036639,38,-108
"35",2018,"407CASH","16/05/2018","CASH",-6,130,"forest-control","22/05/2018",8,0,0,13.14409722,"16/05/2018 05:46",NA,NA,43,NA
"36",2018,"416CASH","13/05/2018","CASH",-13,134,"forest-control","26/05/2018",9,7,7,13.74913492,"13/05/2018 05:24","13/05/2018 19:45",0.475716392,15,-97
"37",2018,"416CASH","14/05/2018","CASH",-12,134,"forest-control","26/05/2018",9,7,7,14.01202381,"14/05/2018 05:33","14/05/2018 19:33",0.53673483,26,-110
"38",2018,"416CASH","15/05/2018","CASH",-11,134,"forest-control","26/05/2018",9,7,7,13.39108333,"15/05/2018 05:36","15/05/2018 19:51",0.372149324,31,-94
"39",2018,"416CASH","16/05/2018","CASH",-10,134,"forest-control","26/05/2018",9,7,7,13.14409722,"16/05/2018 05:33","16/05/2018 20:06",0.298784977,30,-81
"40",2018,"416CASH","17/05/2018","CASH",-9,134,"forest-control","26/05/2018",9,7,7,10.63960265,"17/05/2018 05:33","17/05/2018 19:21",0.688727421,32,-128
"41",2018,"416CASH","18/05/2018","CASH",-8,134,"forest-control","26/05/2018",9,7,7,9.741666667,"18/05/2018 05:54","18/05/2018 19:51",0.591788804,55,-100
"42",2018,"416CASH","19/05/2018","CASH",-7,134,"forest-control","26/05/2018",9,7,7,11.63333333,"19/05/2018 05:42","19/05/2018 18:33",0.26485535,44,-180
"43",2018,"416CASH","20/05/2018","CASH",-6,134,"forest-control","26/05/2018",9,7,7,11.88902632,"20/05/2018 05:30","20/05/2018 19:45",2.434661389,34,-109
"44",2018,"416CASH","21/05/2018","CASH",-5,134,"forest-control","26/05/2018",9,7,7,14.99637698,"21/05/2018 05:24","21/05/2018 19:39",1.640484181,30,-117
"45",2018,"416CASH","22/05/2018","CASH",-4,134,"forest-control","26/05/2018",9,7,7,14.39243056,"22/05/2018 05:54","22/05/2018 19:30",2.727192801,61,-128
"46",2018,"416CASH","23/05/2018","CASH",-3,134,"forest-control","26/05/2018",9,7,7,16.1397004,"23/05/2018 05:39","23/05/2018 20:27",3.715592522,48,-73
"47",2018,"416CASH","24/05/2018","CASH",-2,134,"forest-control","26/05/2018",9,7,7,16.7061746,"24/05/2018 06:00",NA,NA,70,NA
"48",2018,"425CASH","11/05/2018","CASH",-15,132,"forest-control","26/05/2018",8,8,8,10.7394623,"11/05/2018 05:30","11/05/2018 19:54",1.267865913,18,-84
"49",2018,"425CASH","12/05/2018","CASH",-14,132,"forest-control","26/05/2018",8,8,8,13.2566627,"12/05/2018 05:12","12/05/2018 19:06",2.418389256,2,-134
"50",2018,"425CASH","13/05/2018","CASH",-13,132,"forest-control","26/05/2018",8,8,8,13.74913492,"13/05/2018 05:33","13/05/2018 18:51",1.740247084,24,-151
"51",2018,"425CASH","14/05/2018","CASH",-12,132,"forest-control","26/05/2018",8,8,8,14.01202381,"14/05/2018 05:24","14/05/2018 19:15",0.969726,17,-128
"52",2018,"425CASH","15/05/2018","CASH",-11,132,"forest-control","26/05/2018",8,8,8,13.39108333,"15/05/2018 05:21","15/05/2018 19:33",0.901128344,16,-112
"53",2018,"425CASH","16/05/2018","CASH",-10,132,"forest-control","26/05/2018",8,8,8,13.14409722,"16/05/2018 05:12","16/05/2018 14:03",NA,9,-444
"54",2018,"425CASH","20/05/2018","CASH",-6,132,"forest-control","26/05/2018",8,8,8,11.88902632,"20/05/2018 05:24","20/05/2018 19:00",0.775245121,28,-154
"55",2018,"425CASH","21/05/2018","CASH",-5,132,"forest-control","26/05/2018",8,8,8,14.99637698,"21/05/2018 05:48","21/05/2018 17:39",0.673387522,54,-237
"56",2018,"425CASH","22/05/2018","CASH",-4,132,"forest-control","26/05/2018",8,8,8,14.39243056,"22/05/2018 06:03","22/05/2018 17:03",0.813956023,70,-275
