year,box,date,percentage_in,first_offbout,last_onbout,day.mean,day.var,night.mean,night.var,site,hatching_date,inc_start,type,sunrise,sunset,activity_onset_relative,activity_end_relative,inc_length,meantemp,mintemp,maxtemp,clutch_size,hatchlings,fledglings,avg_fledgling_weight
2018,12CASH,13/05/2018,74.375,13/05/2018 05:42,13/05/2018 20:09,27.43040897,33.53442278,26.55162245,5.106262588,CASH,25/05/2018,11/05/2018,forest-experimental light,13/05/2018 05:09,13/05/2018 21:22,33,-73,14,13.74913492,4.9,22.423,8,8,8,UNKNOWN
2018,12CASH,14/05/2018,91.04166667,14/05/2018 05:24,14/05/2018 19:18,29.0644934,19.93268525,28.25053846,1.683015729,CASH,25/05/2018,11/05/2018,forest-experimental light,14/05/2018 05:07,14/05/2018 21:23,17,-125,14,14.01202381,0.9,24.424,8,8,8,UNKNOWN
2018,12CASH,16/05/2018,94.64882943,16/05/2018 05:36,16/05/2018 13:00,27.89964706,11.20713924,NA,NA,CASH,25/05/2018,11/05/2018,forest-experimental light,16/05/2018 05:03,16/05/2018 21:27,33,-507,14,13.14409722,0.4,23.048,8,8,8,UNKNOWN
2018,12CASH,20/05/2018,84.79166667,20/05/2018 05:39,20/05/2018 19:33,35.93692612,9.909182016,36.24394898,0.272055657,CASH,25/05/2018,11/05/2018,forest-experimental light,20/05/2018 04:56,20/05/2018 21:34,43,-121,14,11.88902632,10.8,13.973,8,8,8,UNKNOWN
2018,12CASH,21/05/2018,84.79166667,21/05/2018 05:48,21/05/2018 21:15,35.59581266,10.13817463,36.33310204,0.327435783,CASH,25/05/2018,11/05/2018,forest-experimental light,21/05/2018 04:54,21/05/2018 21:36,54,-21,14,14.99637698,9.4,20.234,8,8,8,UNKNOWN
2018,12CASH,22/05/2018,80.625,22/05/2018 05:54,22/05/2018 19:21,34.65793931,27.21175105,36.00589796,0.519482422,CASH,25/05/2018,11/05/2018,forest-experimental light,22/05/2018 04:53,22/05/2018 21:38,61,-137,14,14.39243056,7.3,18.794,8,8,8,UNKNOWN
2018,12CASH,23/05/2018,80.20833333,23/05/2018 05:42,23/05/2018 19:33,35.23372823,13.09223789,35.74933673,0.23648705,CASH,25/05/2018,11/05/2018,forest-experimental light,23/05/2018 04:51,23/05/2018 21:40,51,-127,14,16.1397004,8.6,25.924,8,8,8,UNKNOWN
2018,12CASH,24/05/2018,84.79166667,24/05/2018 05:36,24/05/2018 19:45,32.19548549,18.58736001,NA,NA,CASH,25/05/2018,11/05/2018,forest-experimental light,24/05/2018 04:50,24/05/2018 21:41,46,-116,14,16.7061746,6.3,27.548,8,8,8,UNKNOWN
2018,20CASH,07/05/2018,59.79166667,07/05/2018 04:38,07/05/2018 18:20,23.85455526,79.14770544,29.563,0.474596869,CASH,21/05/2018,05/05/2018,forest-experimental light,07/05/2018 05:21,07/05/2018 21:10,-43,-170,16,14.60371429,8.5,23.924,8,7,7,UNKNOWN
2018,20CASH,08/05/2018,51.04166667,08/05/2018 04:17,08/05/2018 17:44,18.63118421,54.69510506,27.81888,0.258229339,CASH,21/05/2018,05/05/2018,forest-experimental light,08/05/2018 05:19,08/05/2018 21:12,-62,-208,16,11.28572421,4,16.102,8,7,7,UNKNOWN
